source,task,routing_mode,ast_index,command,target,raw_command,success,duration_seconds,output_chars,search_result_role,information_gained,reason_for_call,next_action,classification,classification_label,hindsight_assessment
controlled-phase7d,level1-006,semantic,1,search,--name log,"ast-tool search --name log ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level1-logger""",True,10.163,236,declaration-only,2 symbol result(s); Method net::Connection::log D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level1-logger\src\net\connection.h:15:5,necessary semantic query,"ast-tool:search --fqn ""net::Server::log""",A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
controlled-phase7d,level1-006,semantic,2,search,"--fqn ""net::Server::log""","ast-tool search --fqn ""net::Server::log"" ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level1-logger""",True,4.219,232,declaration-and-definition,2 symbol result(s); Function net::Server::log D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level1-logger\src\net\server.cpp:22:1,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
controlled-phase7d,level2-001,semantic,1,search,--name update,"ast-tool search --name update ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,10.471,530,declaration-only,4 symbol result(s); Method auth::AuthService::update D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_service.h:20:5,necessary semantic query,ast-tool:find --text update,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
controlled-phase7d,level2-001,semantic,2,find,--text update,"ast-tool find --type function_definition --text update ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_service.cpp""",True,4.4,162,,"2 AST node line(s); 34DA9A8D function_definition @17:1 ""bool AuthService::refresh(const std::str...""",context-fetch overhead,Read,E,context-fetch overhead,reasonable structural location step; editable source still required a Read
controlled-phase7d,level2-004,semantic,1,search,--name validate,"ast-tool search --name validate ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,10.49,255,declaration-only,2 symbol result(s); Method auth::AuthService::validate D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_service.h:21:5,identity / resolution overhead,ast-tool:callers auth::AuthToken::validate,B,identity / resolution overhead,reasonable identity step required before a relationship query
controlled-phase7d,level2-004,semantic,2,callers,auth::AuthToken::validate,"ast-tool callers auth::AuthToken::validate ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,4.345,103,,empty relationship result,relationship retry overhead,ast-tool:references auth::AuthToken::validate,C,relationship retry overhead,"reasonable query, but empty output forced another strategy"
controlled-phase7d,level2-004,semantic,3,references,auth::AuthToken::validate,"ast-tool references auth::AuthToken::validate ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,4.351,56,,empty relationship result,relationship retry overhead,Bash,C,relationship retry overhead,"reasonable query, but empty output forced another strategy"
controlled-phase7d,level2-005,semantic,1,search,--name refresh,"ast-tool search --name refresh ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,10.57,254,declaration-only,2 symbol result(s); Method auth::AuthService::refresh D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_service.h:19:5,identity / resolution overhead,ast-tool:callees auth::AuthService::refresh,B,identity / resolution overhead,reasonable identity step required before a relationship query
controlled-phase7d,level2-005,semantic,2,callees,auth::AuthService::refresh,"ast-tool callees auth::AuthService::refresh ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,4.387,54,,empty relationship result,relationship retry overhead,ast-tool:callees auth::AuthService::refresh,C,relationship retry overhead,"reasonable query, but empty output forced another strategy"
controlled-phase7d,level2-005,semantic,3,callees,auth::AuthService::refresh,"ast-tool callees auth::AuthService::refresh ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src""",True,4.445,54,,empty relationship result,relationship retry overhead,Glob,C,relationship retry overhead,"reasonable query, but empty output forced another strategy"
controlled-phase7d,level2-005,semantic,4,find,--text refresh,"ast-tool find --text refresh ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_service.cpp""",True,4.439,1052,,"17 AST node line(s); 3120B41D translation_unit @1:1 ""#include 'auth_service.h' #include 'auth...""",context-fetch overhead,Read,E,context-fetch overhead,reasonable structural location step; editable source still required a Read
controlled-phase7d,level2-006,semantic,1,search,--name validate,"ast-tool search --name validate ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src"" 2>&1",True,10.816,117,declaration-only,1 symbol result(s); Method gw::Token::validate D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src\token\token.h:9:5,identity / resolution overhead,ast-tool:callers gw::Token::validate,B,identity / resolution overhead,reasonable identity step required before a relationship query
controlled-phase7d,level2-006,semantic,2,callers,gw::Token::validate,"ast-tool callers gw::Token::validate ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src"" 2>&1",True,4.269,565,,4 relationship result line(s); handlers::ApiHandler::handle D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-gateway\src\handlers\api_handler.cpp:15:17,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
controlled-phase7d,level2-008,semantic,1,callers,AuthToken::expire,"ast-tool callers AuthToken::expire ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",False,9.95,141,,error: symbol not found: AuthToken::expire,recovery / error-handling overhead,ast-tool:search --name expire,F,recovery / error-handling overhead,reasonable attempt; command rejected the input or protocol
controlled-phase7d,level2-008,semantic,2,search,--name expire,"ast-tool search --name expire ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,4.227,123,declaration-only,1 symbol result(s); Method auth::AuthToken::expire D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_token.h:10:5,identity / resolution overhead,ast-tool:callers auth::AuthToken::expire,B,identity / resolution overhead,reasonable identity step required before a relationship query
controlled-phase7d,level2-008,semantic,3,callers,auth::AuthToken::expire,"ast-tool callers auth::AuthToken::expire ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth""",True,4.267,259,,2 relationship result line(s); auth::AuthService::refresh D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level2-auth\src\auth\auth_service.cpp:18:12,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
controlled-phase7d,level3-005,semantic,1,search,--name log,"ast-tool search --name log ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-pipeline"" 2>&1",True,9.891,129,declaration-only,1 symbol result(s); Method audit::AuditLogger::log D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-pipeline\src\audit\audit_logger.h:9:5,identity / resolution overhead,ast-tool:callers audit::AuditLogger::log,B,identity / resolution overhead,reasonable identity step required before a relationship query
controlled-phase7d,level3-005,semantic,2,callers,audit::AuditLogger::log,"ast-tool callers audit::AuditLogger::log ""D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-pipeline"" 2>&1",True,4.164,249,,2 relationship result line(s); store::DataStore::purge D:\Projects\Cpp\temp\ast-tool\evaluation\repositories\level3-pipeline\src\store\data_store.cpp:16:14,necessary semantic query,Read,A,necessary semantic query,"provided task-relevant identity, relationship, or structure"
