task_id,level,first_ast_tool_command,success
level1-001,level1,,True
level1-002,level1,search,True
level1-003,level1,,True
level1-004,level1,,True
level1-005,level1,search,True
level1-006,level1,,True
level1-007,level1,,True
level1-008,level1,,True
level2-001,level2,,True
level2-002,level2,search,True
level2-003,level2,symbols,True
level2-004,level2,search,True
level2-005,level2,search,True
level2-006,level2,search,True
level2-007,level2,search,True
level2-008,level2,callers,True
level3-001,level3,,True
level3-002,level3,callers,True
level3-003,level3,,True
level3-004,level3,callees,True
level3-005,level3,callers,True
level3-006,level3,search,True
level3-007,level3,search,True
level3-008,level3,search,True
level4-001,level4,,True
level4-002,level4,,False
level4-003,level4,,True
level4-004,level4,,True
level4-005,level4,,True
level4-006,level4,search,False
level4-007,level4,,False
level4-008,level4,,True
level5-001,level5,,True
level5-002,level5,,True
level5-003,level5,,True
level5-004,level5,,True
level5-005,level5,,True
level5-006,level5,,True
level5-007,level5,,True
level5-008,level5,,True
smoke-001,smoke,find,True
